messy_name	clean_name
[DKB] Re:Zero kara Hajimeru Isekai Seikatsu - S04E13 [1080p][HEVC x265 10bit][Multi-Subs][weekly].265	episode_13.265
[DKB] Re:Zero kara Hajimeru Isekai Seikatsu - S04 [1080p][HEVC x265 10bit][Multi-Subs][weekly]	season_04
[DKB] Re:Zero kara Hajimeru Isekai Seikatsu - [1080p][HEVC x265 10bit][Multi-Subs][weekly]	re_zero_kara_hajimeru_isekai_seikatsu
[AnoZu] The Villager of Level 999 2026 S01E09 1080p CR WEB-DL AAC 2.0 H.264 | Lv999 no Murabito.264	episode_09.264
[AnoZu] The Villager of Level 999 2026 S02 1080p CR WEB-DL AAC 2.0 H.264 | Lv999 no Murabito	season_02
[AnoZu] The Villager of Level 999 2026 1080p CR WEB-DL AAC 2.0 H.264 | Lv999 no Murabito	the_villager_of_level_999
kaiju_no_9	kaiju_no_9
Kaiju-No-9	kaiju_no_9
Heavenly-Delusion	heavenly_delusion
heavenly_delusion	heavenly_delusion
Cike-Wu-Liuqi	cike_wu_liuqi
cike_wu_liuqi	cike_wu_liuqi
Episode 11	episode_11
Episode 11.mkv	episode_11.mkv
The Emperor's New Groove (2000) 1080p CR WEB-DL AAC 2.0 H.264	the_emperors_new_groove.264
